Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-02 06:49:23,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-02 20:06:32,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-02 20:09:57,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-02 20:16:32,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-02 20:25:49,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-02 20:29:04,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-02 20:31:28,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-02 20:32:33,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-06 00:07:40,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
Timestamp,Ia,Ib,Ic,Va,Vb,Vc,Action_Taken
2026-04-06 10:30:58,-1.8111091188673885,-0.04641952234002915,-0.05248135032755809,0.6534852057341357,0.02421088018474414,-0.6383429380948629,ISOLATED
